creation,customer_group,customer_name,customer_type,email_id,gender,mobile_no,modified,name,territory,website
2026-01-11 06:01:24.910269,Individual,Adnan Ahmed 831,Individual,adnan.ahmed31@gmail.com,Male,+8801488807028,2026-01-11 06:01:25.881023,Adnan Ahmed 831,Suburban Branch,active
2026-01-11 05:56:44.623138,Individual,Adnan Begum 248,Individual,adnan.begum45@gmail.com,Male,+8801949432165,2026-01-11 05:56:45.508612,Adnan Begum 248,Downtown Branch,active
2026-01-11 06:01:03.299255,Individual,Adnan Begum 595,Individual,adnan.begum26@gmail.com,Male,+8801895608610,2026-01-11 06:01:04.260987,Adnan Begum 595,Suburban Branch,active
2026-01-11 06:01:32.498483,Individual,Adnan Malik 605,Individual,adnan.malik70@gmail.com,Male,+8801614996990,2026-01-11 06:01:32.914261,Adnan Malik 605,Southgate Branch,at_risk
2026-01-11 05:57:00.323446,Individual,Adnan Malik 886,Individual,adnan.malik79@gmail.com,Female,+8801468658690,2026-01-11 05:57:01.205531,Adnan Malik 886,Eastside Branch,active
2026-01-11 05:56:25.906252,Individual,Adnan Rahman 879,Individual,adnan.rahman84@gmail.com,Male,+8801533121156,2026-01-11 05:56:26.789796,Adnan Rahman 879,Eastside Branch,active
2026-01-11 06:01:02.605512,Individual,Adnan Sheikh 861,Individual,adnan.sheikh96@gmail.com,Female,+8801871195971,2026-01-11 06:01:03.122839,Adnan Sheikh 861,Downtown Branch,active
2026-01-11 05:55:50.839975,Individual,Adnan Siddiqui 930,Individual,adnan.siddiqui45@gmail.com,Female,+8801495991882,2026-01-11 05:55:51.199056,Adnan Siddiqui 930,Eastside Branch,at_risk
2026-01-11 06:00:24.907921,Individual,Adnan Uddin 544,Individual,adnan.uddin37@gmail.com,Male,+8801692318799,2026-01-11 06:00:25.333951,Adnan Uddin 544,Downtown Branch,at_risk
2026-01-11 05:59:53.011412,Individual,Adnan Uddin 872,Individual,adnan.uddin6@gmail.com,Male,+8801743708657,2026-01-11 05:59:53.912307,Adnan Uddin 872,Downtown Branch,active
2026-01-11 05:56:28.282888,Individual,Ahmed Ahmed 194,Individual,ahmed.ahmed53@gmail.com,Female,+8801663104729,2026-01-11 05:56:28.642750,Ahmed Ahmed 194,Westend Branch,active
2026-01-11 05:59:58.812718,Individual,Ahmed Ahmed 576,Individual,ahmed.ahmed34@gmail.com,Male,+8801732027260,2026-01-11 05:59:59.695656,Ahmed Ahmed 576,Suburban Branch,churned
2026-01-11 05:57:12.038710,Individual,Ahmed Akter 210,Individual,ahmed.akter5@gmail.com,Female,+8801537029692,2026-01-11 05:57:12.399760,Ahmed Akter 210,Mall Branch,active
