creation,customer,customer_name,docstatus,due_date,grand_total,modified,name,posting_date,status,territory
2026-01-11 06:01:42.078558,Samira Shah 230,Samira Shah 230,0,2024-07-06,43102.81,2026-01-11 06:01:42.078558,ACC-SINV-2026-00211,2024-05-19,Draft,Uptown Branch
2026-01-11 06:01:42.394714,Samira Shah 230,Samira Shah 230,0,2024-08-13,77.49,2026-01-11 06:01:42.394714,ACC-SINV-2026-00212,2024-06-23,Draft,Uptown Branch
2026-01-11 06:01:43.009652,Samira Shah 230,Samira Shah 230,0,2024-08-24,842.63,2026-01-11 06:01:43.009652,ACC-SINV-2026-00213,2024-07-19,Draft,Uptown Branch
2026-01-11 06:01:43.241076,Samira Shah 230,Samira Shah 230,0,2024-09-22,162.84,2026-01-11 06:01:43.241076,ACC-SINV-2026-00214,2024-08-11,Draft,Uptown Branch
2026-01-11 06:01:43.478151,Samira Shah 230,Samira Shah 230,0,2024-11-22,754.75,2026-01-11 06:01:43.478151,ACC-SINV-2026-00215,2024-09-24,Draft,Uptown Branch
2026-01-11 06:01:43.731596,Samira Shah 230,Samira Shah 230,0,2024-12-28,23627.19,2026-01-11 06:01:43.731596,ACC-SINV-2026-00216,2024-11-03,Draft,Uptown Branch
2026-01-11 06:01:43.957307,Samira Shah 230,Samira Shah 230,0,2025-01-06,323.58,2026-01-11 06:01:43.957307,ACC-SINV-2026-00217,2024-11-28,Draft,Uptown Branch
2026-01-11 06:01:44.196064,Samira Shah 230,Samira Shah 230,0,2025-02-06,128.03,2026-01-11 06:01:44.196064,ACC-SINV-2026-00218,2024-12-19,Draft,Uptown Branch
2026-01-11 06:01:44.431285,Samira Shah 230,Samira Shah 230,0,2025-03-16,391.59,2026-01-11 06:01:44.431285,ACC-SINV-2026-00219,2025-01-30,Draft,Uptown Branch
2026-01-11 06:01:44.665888,Samira Shah 230,Samira Shah 230,0,2025-04-19,301.37,2026-01-11 06:01:44.665888,ACC-SINV-2026-00220,2025-02-28,Draft,Uptown Branch
2026-01-11 06:01:44.899284,Samira Shah 230,Samira Shah 230,0,2025-04-25,9041.6,2026-01-11 06:01:44.899284,ACC-SINV-2026-00221,2025-03-16,Draft,Uptown Branch
2026-01-11 06:01:45.131166,Samira Shah 230,Samira Shah 230,0,2025-05-28,1206.08,2026-01-11 06:01:45.131166,ACC-SINV-2026-00222,2025-04-22,Draft,Uptown Branch
2026-01-11 06:01:45.707022,Samira Shah 230,Samira Shah 230,0,2025-07-06,1303.5,2026-01-11 06:01:45.707022,ACC-SINV-2026-00223,2025-05-22,Draft,Uptown Branch
2026-01-11 06:01:45.951776,Samira Shah 230,Samira Shah 230,0,2025-07-27,234.13,2026-01-11 06:01:45.951776,ACC-SINV-2026-00224,2025-06-10,Draft,Uptown Branch
2026-01-11 06:01:46.175316,Samira Shah 230,Samira Shah 230,0,2025-07-31,951.11,2026-01-11 06:01:46.175316,ACC-SINV-2026-00225,2025-06-25,Draft,Uptown Branch
2026-01-11 06:01:46.404626,Samira Shah 230,Samira Shah 230,0,2025-09-29,1575.07,2026-01-11 06:01:46.404626,ACC-SINV-2026-00226,2025-08-01,Draft,Uptown Branch
2026-01-11 06:01:46.639304,Samira Shah 230,Samira Shah 230,0,2025-10-01,781.42,2026-01-11 06:01:46.639304,ACC-SINV-2026-00227,2025-08-27,Draft,Uptown Branch
2026-01-11 06:01:46.866521,Samira Shah 230,Samira Shah 230,0,2025-10-14,16808.46,2026-01-11 06:01:46.866521,ACC-SINV-2026-00228,2025-09-11,Draft,Uptown Branch
2026-01-11 06:01:47.091699,Samira Shah 230,Samira Shah 230,0,2025-12-01,821.28,2026-01-11 06:01:47.091699,ACC-SINV-2026-00229,2025-10-15,Draft,Uptown Branch
2026-01-11 06:01:47.323022,Samira Shah 230,Samira Shah 230,0,2026-01-13,26273.79,2026-01-11 06:01:47.323022,ACC-SINV-2026-00230,2025-11-20,Draft,Uptown Branch
2026-01-11 06:01:47.537120,Samira Shah 230,Samira Shah 230,0,2026-02-26,43939.22,2026-01-11 06:01:47.537120,ACC-SINV-2026-00231,2025-12-30,Draft,Uptown Branch
2026-01-11 06:01:47.752357,Fatima Mirza 478,Fatima Mirza 478,0,2024-08-15,7336.28,2026-01-11 06:01:47.752357,ACC-SINV-2026-00232,2024-06-30,Draft,Airport Branch
2026-01-11 06:01:48.332002,Fatima Mirza 478,Fatima Mirza 478,0,2024-09-03,191.46,2026-01-11 06:01:48.332002,ACC-SINV-2026-00233,2024-07-15,Draft,Airport Branch
2026-01-11 06:01:48.564484,Fatima Mirza 478,Fatima Mirza 478,0,2024-10-05,7214.98,2026-01-11 06:01:48.564484,ACC-SINV-2026-00234,2024-08-24,Draft,Airport Branch
2026-01-11 06:01:48.800632,Fatima Mirza 478,Fatima Mirza 478,0,2024-10-20,1812.86,2026-01-11 06:01:48.800632,ACC-SINV-2026-00235,2024-09-15,Draft,Airport Branch
2026-01-11 06:01:49.026161,Fatima Mirza 478,Fatima Mirza 478,0,2024-11-21,854.03,2026-01-11 06:01:49.026161,ACC-SINV-2026-00236,2024-10-08,Draft,Airport Branch
2026-01-11 06:01:49.245786,Fatima Mirza 478,Fatima Mirza 478,0,2025-01-03,6955.8,2026-01-11 06:01:49.245786,ACC-SINV-2026-00237,2024-11-14,Draft,Airport Branch
2026-01-11 06:01:49.471851,Fatima Mirza 478,Fatima Mirza 478,0,2025-02-09,9995.62,2026-01-11 06:01:49.471851,ACC-SINV-2026-00238,2024-12-28,Draft,Airport Branch
2026-01-11 06:01:49.693438,Fatima Mirza 478,Fatima Mirza 478,0,2025-03-17,875.22,2026-01-11 06:01:49.693438,ACC-SINV-2026-00239,2025-01-17,Draft,Airport Branch
2026-01-11 06:01:49.919755,Fatima Mirza 478,Fatima Mirza 478,0,2025-04-12,171.75,2026-01-11 06:01:49.919755,ACC-SINV-2026-00240,2025-03-03,Draft,Airport Branch
2026-01-11 06:01:50.164905,Fatima Mirza 478,Fatima Mirza 478,0,2025-05-09,475.55,2026-01-11 06:01:50.164905,ACC-SINV-2026-00241,2025-03-19,Draft,Airport Branch
2026-01-11 06:01:50.387660,Fatima Mirza 478,Fatima Mirza 478,0,2025-05-23,1214.4,2026-01-11 06:01:50.387660,ACC-SINV-2026-00242,2025-04-04,Draft,Airport Branch
2026-01-11 06:01:50.998655,Fatima Mirza 478,Fatima Mirza 478,0,2025-06-07,172.73,2026-01-11 06:01:50.998655,ACC-SINV-2026-00243,2025-05-07,Draft,Airport Branch
2026-01-11 06:01:51.225667,Fatima Mirza 478,Fatima Mirza 478,0,2025-07-05,29924.36,2026-01-11 06:01:51.225667,ACC-SINV-2026-00244,2025-05-22,Draft,Airport Branch
2026-01-11 06:01:51.455724,Fatima Mirza 478,Fatima Mirza 478,0,2025-08-25,611.89,2026-01-11 06:01:51.455724,ACC-SINV-2026-00245,2025-06-27,Draft,Airport Branch
2026-01-11 06:01:51.683555,Fatima Mirza 478,Fatima Mirza 478,0,2025-10-04,13131.13,2026-01-11 06:01:51.683555,ACC-SINV-2026-00246,2025-08-05,Draft,Airport Branch
2026-01-11 06:01:51.907610,Fatima Mirza 478,Fatima Mirza 478,0,2025-11-30,9709.91,2026-01-11 06:01:51.907610,ACC-SINV-2026-00247,2025-10-10,Draft,Airport Branch
2026-01-11 06:01:52.130354,Khalid Hassan 355,Khalid Hassan 355,0,2024-03-20,1221.54,2026-01-11 06:01:52.130354,ACC-SINV-2026-00248,2024-02-15,Draft,Industrial Branch
2026-01-11 06:01:52.369115,Khalid Hassan 355,Khalid Hassan 355,0,2024-04-18,17958.67,2026-01-11 06:01:52.369115,ACC-SINV-2026-00249,2024-03-14,Draft,Industrial Branch
2026-01-11 06:01:52.585904,Khalid Hassan 355,Khalid Hassan 355,0,2024-05-27,310.19,2026-01-11 06:01:52.585904,ACC-SINV-2026-00250,2024-04-20,Draft,Industrial Branch
2026-01-11 06:01:52.812241,Khalid Hassan 355,Khalid Hassan 355,0,2024-06-14,41361.72,2026-01-11 06:01:52.812241,ACC-SINV-2026-00251,2024-05-10,Draft,Industrial Branch
2026-01-11 06:01:53.047600,Khalid Hassan 355,Khalid Hassan 355,0,2024-08-15,9902.19,2026-01-11 06:01:53.047600,ACC-SINV-2026-00252,2024-06-17,Draft,Industrial Branch
2026-01-11 06:01:53.621932,Khalid Hassan 355,Khalid Hassan 355,0,2024-09-17,4411.5,2026-01-11 06:01:53.621932,ACC-SINV-2026-00253,2024-07-28,Draft,Industrial Branch
2026-01-11 06:01:53.851413,Khalid Hassan 355,Khalid Hassan 355,0,2024-10-09,185.04,2026-01-11 06:01:53.851413,ACC-SINV-2026-00254,2024-09-05,Draft,Industrial Branch
2026-01-11 06:01:54.086208,Khalid Hassan 355,Khalid Hassan 355,0,2024-11-09,1855.41,2026-01-11 06:01:54.086208,ACC-SINV-2026-00255,2024-09-22,Draft,Industrial Branch
2026-01-11 06:01:54.311125,Khalid Hassan 355,Khalid Hassan 355,0,2024-12-04,17750.48,2026-01-11 06:01:54.311125,ACC-SINV-2026-00256,2024-10-10,Draft,Industrial Branch
2026-01-11 06:01:54.529849,Khalid Hassan 355,Khalid Hassan 355,0,2024-12-30,5243.62,2026-01-11 06:01:54.529849,ACC-SINV-2026-00257,2024-11-15,Draft,Industrial Branch
2026-01-11 06:01:54.747875,Khalid Hassan 355,Khalid Hassan 355,0,2025-02-08,783.36,2026-01-11 06:01:54.747875,ACC-SINV-2026-00258,2024-12-24,Draft,Industrial Branch
