created_date,description,email,first_name,last_name,lead_source,modified_date,phone,sf_contact_id
2026-01-06T10:58:10.000+0000,,rose@edge.com,Rose,Gonzalez,Trade Show,2026-01-06T10:58:10.000+0000,(512) 757-6000,003g5000002B75OAAS
2026-01-06T10:58:10.000+0000,,sean@edge.com,Sean,Forbes,Trade Show,2026-01-06T10:58:10.000+0000,(512) 757-6000,003g5000002B75PAAS
2026-01-06T10:58:10.000+0000,,jrogers@burlington.com,Jack,Rogers,Web,2026-01-06T10:58:10.000+0000,(336) 222-7000,003g5000002B75QAAS
2026-01-06T10:58:10.000+0000,,pat@pyramid.net,Pat,Stumuller,,2026-01-06T10:58:10.000+0000,(014) 427-4427,003g5000002B75RAAS
2026-01-06T10:58:10.000+0000,,a_young@dickenson.com,Andy,Young,Purchased List,2026-01-06T10:58:10.000+0000,(785) 241-6200,003g5000002B75SAAS
2026-01-06T10:58:10.000+0000,,barr_tim@grandhotels.com,Tim,Barr,External Referral,2026-01-06T10:58:10.000+0000,(312) 596-1000,003g5000002B75TAAS
2026-01-06T10:58:10.000+0000,,bond_john@grandhotels.com,John,Bond,External Referral,2026-01-06T10:58:10.000+0000,(312) 596-1000,003g5000002B75UAAS
2026-01-06T10:58:10.000+0000,,spavlova@uog.com,Stella,Pavlova,Public Relations,2026-01-06T10:58:10.000+0000,(212) 842-5500,003g5000002B75VAAS
2026-01-06T10:58:10.000+0000,,lboyle@uog.com,Lauren,Boyle,Public Relations,2026-01-06T10:58:10.000+0000,(212) 842-5500,003g5000002B75WAAS
2026-01-06T10:58:10.000+0000,,b.levy@expressl&t.net,Babara,Levy,Word of mouth,2026-01-06T10:58:10.000+0000,(503) 421-7800,003g5000002B75XAAS
2026-01-06T10:58:10.000+0000,,j.davis@expressl&t.net,Josh,Davis,Word of mouth,2026-01-06T10:58:10.000+0000,(503) 421-7800,003g5000002B75YAAS
2026-01-06T10:58:10.000+0000,,jane_gray@uoa.edu,Jane,Grey,Word of mouth,2026-01-06T10:58:10.000+0000,(520) 773-9050,003g5000002B75ZAAS
2026-01-06T10:58:10.000+0000,,asong@uog.com,Arthur,Song,Public Relations,2026-01-06T10:58:10.000+0000,(212) 842-5500,003g5000002B75aAAC
2026-01-06T10:58:10.000+0000,,ajames@uog.com,Ashley,James,Public Relations,2026-01-06T10:58:10.000+0000,+44 191 4956203,003g5000002B75bAAC
2026-01-06T10:58:10.000+0000,,tripley@uog.com,Tom,Ripley,Public Relations,2026-01-06T10:58:10.000+0000,(650) 450-8810,003g5000002B75cAAC
2026-01-06T10:58:10.000+0000,,ldcruz@uog.com,Liz,D'Cruz,Public Relations,2026-01-06T10:58:10.000+0000,(650) 450-8810,003g5000002B75dAAC
2026-01-06T10:58:10.000+0000,,efrank@genepoint.com,Edna,Frank,Partner,2026-01-06T10:58:10.000+0000,(650) 867-3450,003g5000002B75eAAC
2026-01-06T10:58:10.000+0000,,agreen@uog.com,Avi,Green,Public Relations,2026-01-06T10:58:10.000+0000,(212) 842-5500,003g5000002B75fAAC
2026-01-06T10:58:10.000+0000,,,Siddartha,Nedaerk,,2026-01-06T10:58:10.000+0000,,003g5000002B75gAAC
2026-01-06T10:58:10.000+0000,,,Jake,Llorrac,,2026-01-06T10:58:10.000+0000,,003g5000002B75hAAC
2026-01-11T03:28:42.000+0000,"Segment: churned, Branch: Westend Branch",khalid.malik34@gmail.com,Khalid,Malik 489,Existing Customer,2026-01-11T03:28:42.000+0000,8801342200576.0,003g5000002EeG6AAK
2026-01-11T03:28:50.000+0000,"Segment: active, Branch: Downtown Branch",mariam.khan32@gmail.com,Mariam,Khan 934,Existing Customer,2026-01-11T03:28:50.000+0000,8801597935826.0,003g5000002EeG7AAK
2026-01-11T03:29:28.000+0000,"Segment: churned, Branch: Uptown Branch",sara.hossain84@gmail.com,Sara,Hossain 868,Existing Customer,2026-01-11T03:29:28.000+0000,8801983864936.0,003g5000002EeHiAAK
2026-01-11T03:28:58.000+0000,"Segment: at_risk, Branch: University Branch",mustafa.khan95@gmail.com,Mustafa,Khan 213,Existing Customer,2026-01-11T03:28:58.000+0000,8801322685650.0,003g5000002EeJjAAK
2026-01-11T03:29:17.000+0000,"Segment: churned, Branch: Westend Branch",rashid.begum91@gmail.com,Rashid,Begum 579,Existing Customer,2026-01-11T03:29:17.000+0000,8801994928516.0,003g5000002EeJkAAK
2026-01-11T03:28:18.000+0000,"Segment: active, Branch: Mall Branch",faisal.islam70@gmail.com,Faisal,Islam 147,Existing Customer,2026-01-11T03:28:18.000+0000,8801385706325.0,003g5000002EeKcAAK
2026-01-11T03:28:49.000+0000,"Segment: at_risk, Branch: University Branch",mariam.ali3@gmail.com,Mariam,Ali 307,Existing Customer,2026-01-11T03:28:49.000+0000,8801832396795.0,003g5000002EeKdAAK
2026-01-11T03:28:20.000+0000,"Segment: active, Branch: Mall Branch",faisal.shah75@gmail.com,Faisal,Shah 101,Existing Customer,2026-01-11T03:28:20.000+0000,8801767652991.0,003g5000002EeMEAA0
2026-01-11T03:28:27.000+0000,"Segment: active, Branch: Southgate Branch",hassan.ali44@gmail.com,Hassan,Ali 524,Existing Customer,2026-01-11T03:28:27.000+0000,8801501259271.0,003g5000002EeMFAA0
2026-01-11T03:28:35.000+0000,"Segment: active, Branch: University Branch",jamal.khan21@gmail.com,Jamal,Khan 455,Existing Customer,2026-01-11T03:28:35.000+0000,8801797187599.0,003g5000002EeMGAA0
2026-01-11T03:28:46.000+0000,"Segment: at_risk, Branch: Westend Branch",layla.uddin85@gmail.com,Layla,Uddin 609,Existing Customer,2026-01-11T03:28:46.000+0000,8801516655129.0,003g5000002EeMHAA0
2026-01-11T03:28:30.000+0000,"Segment: active, Branch: Westend Branch",hassan.shah47@gmail.com,Hassan,Shah 439,Existing Customer,2026-01-11T03:28:30.000+0000,8801635733220.0,003g5000002EeNqAAK
2026-01-11T03:28:32.000+0000,"Segment: active, Branch: Suburban Branch",ibrahim.shah57@gmail.com,Ibrahim,Shah 859,Existing Customer,2026-01-11T03:28:32.000+0000,8801976781056.0,003g5000002EeNrAAK
2026-01-11T03:29:23.000+0000,"Segment: churned, Branch: Industrial Branch",samira.begum63@gmail.com,Samira,Begum 455,Existing Customer,2026-01-11T03:29:23.000+0000,8801584881985.0,003g5000002EeNsAAK
2026-01-11T03:29:24.000+0000,"Segment: active, Branch: Southgate Branch",samira.islam33@gmail.com,Samira,Islam 495,Existing Customer,2026-01-11T03:29:24.000+0000,8801330569428.0,003g5000002EeNtAAK
2026-01-11T03:28:26.000+0000,"Segment: active, Branch: Uptown Branch",hassan.ahmed32@gmail.com,Hassan,Ahmed 676,Existing Customer,2026-01-11T03:28:26.000+0000,8801667044459.0,003g5000002EeXqAAK
2026-01-11T03:28:41.000+0000,"Segment: at_risk, Branch: Airport Branch",khalid.malik2@gmail.com,Khalid,Malik 210,Existing Customer,2026-01-11T03:28:41.000+0000,8801462057225.0,003g5000002EehEAAS
2026-01-11T03:27:56.000+0000,"Segment: active, Branch: Downtown Branch",adnan.begum45@gmail.com,Adnan,Begum 248,Existing Customer,2026-01-11T03:27:56.000+0000,8801949432165.0,003g5000002EeiqAAC
2026-01-11T03:28:20.000+0000,"Segment: at_risk, Branch: University Branch",faisal.sheikh35@gmail.com,Faisal,Sheikh 579,Existing Customer,2026-01-11T03:28:20.000+0000,8801503473254.0,003g5000002EeirAAC
2026-01-11T03:28:59.000+0000,"Segment: active, Branch: Downtown Branch",mustafa.siddiqui14@gmail.com,Mustafa,Siddiqui 514,Existing Customer,2026-01-11T03:28:59.000+0000,8801538920479.0,003g5000002EeisAAC
2026-01-11T03:29:06.000+0000,"Segment: active, Branch: Downtown Branch",omar.hossain34@gmail.com,Omar,Hossain 892,Existing Customer,2026-01-11T03:29:06.000+0000,8801817122843.0,003g5000002EeitAAC
